nom,type,ville,region,latitude,longitude,nombre
Salma saveurs,restaurant,Gaoua,Sud-Ouest,10.3231322,-3.1679771,1
Sansan Célestin,restaurant,Gaoua,Sud-Ouest,10.3231036,-3.1679257,1
Paninis house,restaurant,Gaoua,Sud-Ouest,10.3362247,-3.1717554,1
Fast-food,restaurant,Gaoua,Sud-Ouest,10.3295987,-3.1752812,1
La Référence de Gaoua,restaurant,Gaoua,Sud-Ouest,10.3273664,-3.1790191,1
Restaurant Hawaldiel,restaurant,Dori,Sahel,14.0319137,-0.0331799,1
Maquis Restaurant le transporteur ''fondokayo'',restaurant,Dori,Sahel,14.0324541,-0.0193451,1
LAW-LAW FOOD,restaurant,Dori,Sahel,14.0326843,-0.0280348,1
Le Regal,restaurant,Dori,Sahel,14.0362428,-0.0244919,1
Laiterie de Dori,restaurant,Dori,Sahel,14.0323343,-0.0136887,1
PAIN ANGLAIS NIK-SAD ZINIARÉ,restaurant,Ziniaré,Plateau-Central,12.5840501,-1.2987349,1
CAFÉ PANINIS RESTAU ZINIARÉ,restaurant,Ziniaré,Plateau-Central,12.593559,-1.2924327,1
Palais des Grillades de Ziniaré,restaurant,Ziniaré,Plateau-Central,12.5894169,-1.2850947,1
Restaurant Béni Chez Tanti Choco,restaurant,Ziniaré,Plateau-Central,12.5927173,-1.2993488,1
Pharmacie cheick amadou,pharmacie,Ziniaré,Plateau-Central,12.5922143,-1.2812451,1
RESTAURANT La Galerie des Saveurs,restaurant,Ouahigouya,Nord,13.5582157,-2.411433,1
Kadiami,restaurant,Ouahigouya,Nord,13.5724486,-2.4126764,1
Restaurant Kiosque yassia,restaurant,Ouahigouya,Nord,13.5738985,-2.4274027,1
Pharmacie Nayolsba,pharmacie,Ouahigouya,Nord,13.5668258,-2.4109908,1
Pharmacie Du Nord,pharmacie,Ouahigouya,Nord,13.5823178,-2.4255266,1
Bon appétit,restaurant,Bobo-Dioulasso,Hauts-Bassins,11.1716396,-4.3032768,1
L'Eau Vive,restaurant,Bobo-Dioulasso,Hauts-Bassins,11.1736106,-4.2985982,1
Restaurant DanKan,restaurant,Bobo-Dioulasso,Hauts-Bassins,11.1731768,-4.2989521,1
Pharmacie Sala,pharmacie,Bobo-Dioulasso,Hauts-Bassins,11.1709014,-4.3008124,1
Musée communal Sogossira Sanou,musée,Bobo-Dioulasso,Hauts-Bassins,11.1690407,-4.2973705,1
Le lunch du Gourma,restaurant,Fada-Ngourma,Est,12.062544,0.3687302,1
ATCHEKEDROME La GRÂCE,restaurant,Fada-Ngourma,Est,12.0561715,0.3912097,1
La Paillote,restaurant,Fada-Ngourma,Est,12.0694299,0.3465135,1
Restaurant La Grace,restaurant,Fada-Ngourma,Est,12.0601892,0.3731202,1
Restaurant La Couronne,restaurant,Fada-Ngourma,Est,12.0613864,0.3597064,1
Maquis Resto de l'amitié,restaurant,Manga,Centre-Sud,11.6655858,-1.0737597,1
Café Firdawsé,restaurant,Manga,Centre-Sud,11.6748924,-1.083069,1
Wendy'S,restaurant,Manga,Centre-Sud,11.6838788,-1.0926929,1
Restaurant Nabonswende,restaurant,Manga,Centre-Sud,11.6628846,-1.0737822,1
Restaurant Paradis des Jeunes,restaurant,Manga,Centre-Sud,11.6643325,-1.0720716,1
Poulet Flambé Neb-Nooma,restaurant,Koudougou,Centre-Ouest,12.251443,-2.374207,1
Pharmacie Sainte Philomène de Koudougou,pharmacie,Koudougou,Centre-Ouest,12.2434597,-2.3630175,1
Pharmacie Habib,pharmacie,Koudougou,Centre-Ouest,12.2528892,-2.3565487,1
PHARMACIE GALYS,pharmacie,Koudougou,Centre-Ouest,12.2540836,-2.3830168,1
Pharmacie Kuilg-noonré,pharmacie,Koudougou,Centre-Ouest,12.250977,-2.3743049,1
Restaurant sig-n-vuus( Kaya sectN°7),restaurant,Kaya,Centre-Nord,13.1132402,-1.1121172,1
Café Restos La Famille,restaurant,Kaya,Centre-Nord,13.0688623,-1.087065,1
Café-resto chez GOURMA,restaurant,Kaya,Centre-Nord,13.096728,-1.0568023,1
Rayimi-Sonmdé,restaurant,Kaya,Centre-Nord,13.0845354,-1.0653988,1
Resto Noog-Naaba,restaurant,Kaya,Centre-Nord,13.0664266,-1.0873712,1
Restaurant Yasooma,restaurant,Tenkodogo,Centre-Est,11.7863324,-0.3654204,1
Anas panini’s,restaurant,Tenkodogo,Centre-Est,11.7901685,-0.3707347,1
MAGNIFIQUE SERVICE,restaurant,Tenkodogo,Centre-Est,11.7871606,-0.3764713,1
Welly Restaurant,restaurant,Tenkodogo,Centre-Est,11.7897684,-0.3806705,1
MAGNIFIQUE SERVICE,pharmacie,Tenkodogo,Centre-Est,11.786089,-0.3690132,1
Restaurant rtb,restaurant,Ouagadougou,Centre,12.3738262,-1.5106353,1
Restaurant La Verveine,restaurant,Ouagadougou,Centre,12.3504421,-1.5477563,1
Pharmacie de l'Hôpital,pharmacie,Ouagadougou,Centre,12.3821996,-1.5065921,1
Pharmacie Zone 1,pharmacie,Ouagadougou,Centre,12.366879,-1.4698935,1
Musée National du Burkina Faso,musée,Ouagadougou,Centre,12.3764764,-1.4729382,1
CAVE A VIN DON ARIELLE,restaurant,Banfora,Cascades,10.6413052,-4.7467375,1
Restaurant Yankadi,restaurant,Banfora,Cascades,10.6449623,-4.7587389,1
Restaurant Calypso,restaurant,Banfora,Cascades,10.6345693,-4.7602397,1
Pharmacie CHARCLAM,pharmacie,Banfora,Cascades,10.6401588,-4.7459127,1
Pharmacie Comoé,pharmacie,Banfora,Cascades,10.6378634,-4.7557944,1
H-tag,restaurant,Dédougou,Boucle du Mouhoun,12.4722034,-3.4498844,1
MAQUIS MILLENIUM,restaurant,Dédougou,Boucle du Mouhoun,12.4718111,-3.4566006,1
RESTAURANT BADEYA,restaurant,Dédougou,Boucle du Mouhoun,12.4468936,-3.4451825,1
Maquis Oasis De Dedougou,restaurant,Dédougou,Boucle du Mouhoun,12.4680454,-3.4661458,1
Restaurant LANAYA,restaurant,Dédougou,Boucle du Mouhoun,12.4649932,-3.4622405,1
